name,main_common_name,category,year,code
Commersonia prostrata,Dwarf Kerrawang,Endangered,2000,EN
Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,2000,EX
Conospermum densiflorum subsp. unicephalatum,One-headed Smokebush,Endangered,2000,EN
Conospermum undulatum,Wavy-leaved Smokebush,Vulnerable,2000,VU
Conostylis dielsii subsp. teres,Irwin's Conostylis,Endangered,2000,EN
Conostylis drummondii,Drummond's Conostylis,Endangered,2000,EN
Conostylis lepidospermoides,Sedge Conostylis,Endangered,2000,EN
Conostylis micrantha,Small-flowered Conostylis,Endangered,2000,EN
Conostylis misera,Grass Conostylis,Endangered,2000,EN
Conostylis rogeri,"Kulin Conostylis, Single-flowered Conostylis",Vulnerable,2000,VU
Conostylis seorsiflora subsp. trichophylla,Hairy Mat Conostylis,Endangered,2000,EN
Conostylis wonganensis,Wongan Conostylis,Endangered,2000,EN
Coopernookia georgei,Mauve Coopernookia,Endangered,2000,EN
Coopernookia scabridiuscula, ,Vulnerable,2000,VU
Corchorus cunninghamii,Native Jute,Endangered,2000,EN
Corokia whiteana, ,Vulnerable,2000,VU
Correa baeuerlenii,Chef's Cap,Vulnerable,2000,VU
Correa calycina,Hindmarsh Correa,Vulnerable,2000,VU
Correa lawrenceana var. genoensis,Genoa River Correa,Endangered,2000,EN
Corunastylis brachystachya,Short-spiked Midge-orchid,Endangered,2000,EN
Corybas dentatus,"Toothed Helmet-orchid, Finniss Helmet-orchid",Vulnerable,2000,VU
Corybas montanus,Small Helmet-orchid,Vulnerable,2000,VU
Corymbia clandestina, ,Vulnerable,2000,VU
Corymbia leptoloma,Yellowjacket,Vulnerable,2000,VU
Corymbia rhodops, ,Vulnerable,2000,VU
Corymbia xanthope,Glen Geddes Bloodwood,Vulnerable,2000,VU
Corynocarpus rupestris subsp. rupestris,Glenugie Karaka,Vulnerable,2000,VU
Cossinia australiana,Cossinia,Endangered,2000,EN
Crepidium lawleri, ,Endangered,2000,EN
Cryptocarya foetida,"Stinking Cryptocarya, Stinking Laurel",Vulnerable,2000,VU
Cryptostylis hunteriana,Leafless Tongue-orchid,Vulnerable,2000,VU
Ctenophorus yinnietharra,Yinnietharra Rock-Dragon,Vulnerable,2000,VU
Ctenopterella blechnoides, ,Vulnerable,2000,VU
Ctenotus angusticeps,Airlie Island Ctenotus,Vulnerable,2000,VU
Ctenotus lancelini,Lancelin Island Skink,Vulnerable,2000,VU
Ctenotus zastictus,Hamelin Ctenotus,Vulnerable,2000,VU
Cupaniopsis shirleyana,Wedge-leaf Tuckeroo,Vulnerable,2000,VU
Cupaniopsis tomentella,Boonah Tuckeroo,Vulnerable,2000,VU
Cyanoramphus cookii,"Norfolk Island Green Parrot, Tasman Parakeet, Norfolk Island Parakeet",Endangered,2000,EN
Cyanoramphus novaezelandiae erythrotis,"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",Extinct,2000,EX
Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",Extinct,2000,EX
Cyathea exilis, ,Endangered,2000,EN
Cycas cairnsiana,a cycad,Vulnerable,2000,VU
Cycas megacarpa, ,Endangered,2000,EN
Cycas ophiolitica, ,Endangered,2000,EN
Cycas platyphylla,a cycad,Vulnerable,2000,VU
Cycas silvestris, ,Vulnerable,2000,VU
Cyclophyllum costatum,a shrub,Vulnerable,2000,VU
Cyclopsitta diophthalma coxeni,Coxen's Fig-Parrot,Endangered,2000,EN
Cynanchum elegans,White-flowered Wax Plant,Endangered,2000,EN
Cyperus cephalotes, ,Endangered,2000,EN
Cyperus semifertilis, ,Vulnerable,2000,VU
Cyphanthera odgersii subsp. occidentalis,"Western Woolly Cyphanthera, Western Cyphanthera",Endangered,2000,EN
Daphnandra johnsonii,Illawarra Socketwood,Endangered,2000,EN
Darwinia acerosa,Fine-leaved Darwinia,Endangered,2000,EN
Darwinia apiculata,Scarp Darwinia,Endangered,2000,EN
Darwinia biflora, ,Vulnerable,2000,VU
Darwinia carnea,"Mogumber Bell, Narrogin Bell",Endangered,2000,EN
Darwinia chapmaniana,Chapman's Bell,Endangered,2000,EN
